Index,Team,GP,GS,Mins,G,A,S,SOT,KP,Tackles,FC,FS,OFF,YC,RC,P
190,Racing Louisville FC,22,4,492,2,0,2,2,0,4,16,10,0,0,0,M
219,Orlando Pride,5,4,239,0,0,2,0,0,2,2,2,0,1,0,M
319,NJ/NY Gotham FC,4,4,360,0,0,0,0,0,0,0,0,0,0,0,G
370,Chicago Red Stars,18,4,607,0,2,3,1,2,7,13,13,0,1,0,M
382,Bay FC,4,4,296,1,0,2,1,0,6,7,6,0,1,0,M
383,NJ/NY Gotham FC,13,4,405,0,0,3,0,0,11,10,4,0,3,0,M
427,Utah Royals FC,6,4,267,0,0,2,0,0,3,2,0,0,0,0,M
536,San Diego Wave FC,14,4,513,0,0,3,2,0,13,5,6,1,2,0,D
547,San Diego Wave FC,14,4,567,1,0,9,5,0,5,7,8,1,0,0,F
570,Portland Thorns,14,4,453,2,0,8,7,0,4,3,6,4,0,0,F
21,Kansas City Current,20,5,587,2,2,11,4,2,3,16,6,6,0,0,F
39,San Diego Wave FC,17,5,467,2,0,13,6,0,8,3,15,3,1,0,F
51,Kansas City Current,15,5,529,2,1,10,5,1,5,3,6,2,0,0,F
66,NJ/NY Gotham FC,10,5,441,3,0,6,5,0,0,10,5,5,1,0,F
68,Washington Spirit,9,5,431,0,0,5,4,0,5,3,15,2,1,0,F
73,Kansas City Current,7,5,396,0,2,7,4,2,5,8,0,4,0,0,F
74,Washington Spirit,7,5,443,1,1,7,3,1,8,7,4,1,1,0,F
77,Racing Louisville FC,6,5,351,1,0,12,6,0,0,10,3,4,0,0,F
101,Washington Spirit,7,5,463,0,0,1,0,0,5,8,2,0,3,0,D
126,Racing Louisville FC,9,5,578,0,1,0,0,1,7,7,2,0,2,0,D
173,NJ/NY Gotham FC,8,5,454,1,1,6,2,1,6,7,4,2,1,0,D
181,North Carolina Courage,8,5,440,0,0,1,0,0,5,1,3,0,0,0,D
215,Racing Louisville FC,10,5,460,0,1,10,3,1,9,19,13,0,1,0,M
222,Utah Royals FC,6,5,408,0,0,5,3,0,9,8,5,1,0,0,M
246,Angel City FC,11,5,410,0,0,2,0,0,5,5,2,0,1,0,M
280,NJ/NY Gotham FC,16,5,484,0,0,4,1,0,12,11,9,1,1,0,M
281,Angel City FC,5,5,450,0,0,0,0,0,0,0,0,0,0,0,G
305,Portland Thorns,5,5,450,0,0,0,0,0,0,0,0,0,0,0,G
343,Utah Royals FC,11,5,477,0,0,3,2,0,12,17,11,1,2,0,M
452,Seattle Reign,6,5,495,0,0,1,0,0,5,3,4,0,0,0,D
507,San Diego Wave FC,6,5,382,0,0,3,0,0,9,6,10,2,2,0,D
541,Washington Spirit,16,5,554,1,0,2,2,0,16,6,6,1,2,0,D
543,Seattle Reign,8,5,389,0,0,0,0,0,13,4,2,0,0,0,D
555,San Diego Wave FC,10,5,446,1,0,7,4,0,14,8,8,1,0,0,F
574,Houston Dash,7,5,328,0,0,3,3,0,2,0,2,1,0,0,F
32,Orlando Pride,19,6,735,1,1,22,12,1,14,10,7,9,2,0,F
49,North Carolina Courage,15,6,502,2,1,9,6,1,8,7,6,1,2,0,F
